"id","productId","name","description","category","weight","unit","price","dimensions","percentageOfBiologicalMaterials","isSellable","certificationSystem","cascadePrinciple","taricCode","gtin","circularPrinciple","circularPrincipleJustification","circularPrincipleMeasureable","circularPrincipleAssumption","digitalProductPassportUrl","durability","durabilityDifference","reparability","billOfMaterialDescription","productGroupId","wasteId","supplierId","importerName","importerEmail","importerPhone","importerAddress","manufacturerId","warehouseLocationId","productionLocationId","waterUsed","productCarbonFootprint","wasteFlowId","flags","outlier","validated"
"product-2","Lichtausschnitt-4mm-chinchilla","Lichtausschnitt, 4mm, Chinchilla weiß, ESG","Lichtausschnitt 4mm in Chinchilla weiß, ESG, DIN Links/Rechts, Strukturglas","Lichtausschnitt","1.23","kg",221,"1545x410x4","0.8",False,NULL,NULL,NULL,NULL,False,NULL,False,NULL,NULL,NULL,NULL,NULL,"","group-1","test-waste-2","company-2",NULL,NULL,NULL,NULL,"company-1","address-3","address-2","5200",NULL,"flow-1","{}",NULL,True
"product-3","Türdrückergarnitur-Rosettengarnitur-Buntbart-Messing-Glänzend","Türdrückergarnitur, Rosettengarnitur Buntbart, Messing, Glänzend","Türdrückergarnitur, Rosettengarnitur Buntbart,Oberflächenausführung Messing poliert","Türdrückergarnitur","0.14","kg",300,"129.12x50x48","0.3",True,NULL,NULL,NULL,NULL,False,NULL,False,NULL,NULL,NULL,NULL,NULL,"","group-1","test-waste-3","company-2",NULL,NULL,NULL,NULL,"company-2","address-3","address-2","387",NULL,"flow-1","{}",NULL,True
"product-4","Fenster-4mm-chinchilla","Fenster, 4mm, Chinchilla weiß, ESG","Fenster 4mm in Chinchilla weiß, ESG, DIN Links/Rechts, Strukturglas","Fenster","1.23","kg",221,"1545x410x4","0.8",False,NULL,NULL,NULL,NULL,False,NULL,False,NULL,NULL,NULL,NULL,NULL,"","group-2","test-waste-4","company-3",NULL,NULL,NULL,NULL,"company-1",NULL,NULL,"35",NULL,"flow-1","{}",NULL,True
"product-5","Fenster-6mm-satiniert","Fenster, 6mm, Satiniert grau, VSG","Fenster 6mm in Satiniert grau, VSG, DIN Links/Rechts, Sicherheitsglas","Fenster","1.85","kg",289,"1650x520x6","0.65",False,NULL,NULL,NULL,NULL,False,NULL,False,NULL,NULL,NULL,NULL,NULL,"","group-2","test-waste-5","company-3",NULL,NULL,NULL,NULL,"company-2",NULL,NULL,"5200",NULL,"flow-1","{}",NULL,True
"product-6","Fensterdübel-9mm-satiniert","Fensterdübel, 9mm, Satiniert schwarz, VSG","Fenster 6mm in Satiniert schwarz, VSG, DIN Links/Rechts, Sicherheitsglas","Fenster","1.85","kg",289,"1650x520x6","0.65",False,NULL,NULL,NULL,NULL,False,NULL,False,NULL,NULL,NULL,NULL,NULL,"","group-2","test-waste-6","company-3",NULL,NULL,NULL,NULL,"company-2",NULL,NULL,"3500",NULL,"flow-1","{}",NULL,True
"product-1","Klemmbeschlag-8mm-klar-ggs","Klemmbeschlag für Ganzglasanlage, 8mm Klar","Klemmbeschlag für Ganzglasanlage, 8mm Klar","Klemmbeschläge","0.39","kg",100,"2058x935x8","0.5",False,"N/A","N/A","CD128","AVDG",True,NULL,False,NULL,NULL,"0","0","0","","group-1","test-waste-1","company-2","Schneider AG","contact@schneider-ag.de","+49 40 9876543","Second Avenue 45, 80331 Munich, Germany","company-1",NULL,NULL,"5200","0","flow-1","{}",NULL,True
"cmh1rp33f001ol501gjnrkfeq","SIHOSE43911","Silikon-Wärmeaustauscher-Profilschlauch","Elastischer, thermoleitender Spezialschlauch mit optimiertem Kreisabschnitts-Profil, zum Umwickeln von Gerätesystemen aller Art und passenden Anschluss-Stücken zur Schlauch-Verbindung an Thermostate und andere Thermomedien fördernde Systeme","Silikon","100","g",310,"30mm","65",True,"N/A","N/A",NULL,NULL,False,NULL,False,NULL,NULL,"120","120","5","","cmh1qcvk2000jl5014anufrim","cmh1rp33g001rl5014f5t8e7r","company-2","Schneider AG","contact@schneider-ag.de","+49 40 9876543","Second Avenue 45, 80331 Munich, Germany","company-1",NULL,NULL,"0","0","cmh0lp6x4000el501nm0zy7ey","{isSellable,billOfMaterial,billOfMaterialDescription,importer,importerEmail,importerPhone,importerAddress,packagings,warehouseLocation,productionLocation,waterUsed,cascadePrinciple,certification,circularPrinciple,productionHistory,outliers,taricCode,gtin}","{recycledWastePercentage}",False
"cmh1yo7e4002xl501k324y730","SIHOSE43904","Silikon-Wärmeaustauscher-Profilschlauch","Elastischer, thermoleitender Spezialschlauch mit optimiertem Kreisabschnitts-Profil, zum Umwickeln von Gerätesystemen aller Art und passenden Anschluss-Stücken zur Schlauch-Verbindung an Thermostate und andere Thermomedien fördernde Systeme","Silikon","100","g",371,"15","65",False,"N/A","N/A",NULL,NULL,False,NULL,False,NULL,NULL,"120","120","5","","cmh1qcvk2000jl5014anufrim","cmh1yo7e50030l501d9bggckh","company-2","Schneider AG","contact@schneider-ag.de","+49 40 9876543","Second Avenue 45, 80331 Munich, Germany","company-1",NULL,NULL,"0","0","cmh0lp6x4000el501nm0zy7ey","{isSellable,billOfMaterial,billOfMaterialDescription,importer,packagings,warehouseLocation,productionLocation,waterUsed,productCarbonFootprint,cascadePrinciple,certification,circularPrinciple,productionHistory,outliers,taricCode,gtin}","{}",False
"cmh1qv2d4000sl5015g0dbi79","SIHOSE43909","Silikon-Wärmeaustauscher-Profilschlauch","Elastischer, thermoleitender Spezialschlauch mit optimiertem Kreisabschnitts-Profil, zum Umwickeln von Gerätesystemen aller Art und passenden Anschluss-Stücken zur Schlauch-Verbindung an Thermostate und andere Thermomedien fördernde Systeme","Silikon","100","g",101,"9mm","65",True,"N/A","N/A",NULL,NULL,False,NULL,False,NULL,NULL,"120","120","5","","cmh1qcvk2000jl5014anufrim","cmh1qv2d6000vl5010vfy17on","company-2","Schneider AG","contact@schneider-ag.de","+49 40 9876543","Second Avenue 45, 80331 Munich, Germany","company-1",NULL,NULL,"0","0","cmh0lp6x4000el501nm0zy7ey","{importer,importerEmail,importerPhone,importerAddress,packagings,warehouseLocation,productionLocation,waterUsed,productCarbonFootprint,cascadePrinciple,certification,circularPrinciple,productionHistory,outliers,taricCode,gtin,isSellable,billOfMaterial,billOfMaterialDescription}","{}",True
"cmh1yb32j002jl501x1fb37p4","SIHOSE 43903","Silikon-Wärmeaustauscher-Profilschlauch","Elastischer, thermoleitender Spezialschlauch mit optimiertem Kreisabschnitts-Profil, zum Umwickeln von Gerätesystemen aller Art und passenden Anschluss-Stücken zur Schlauch-Verbindung an Thermostate und andere Thermomedien fördernde Systeme","Silikon","100","g",223,"9","65",True,"N/A","N/A",NULL,NULL,False,NULL,False,NULL,NULL,"120","120","5","","cmh1qcvk2000jl5014anufrim","cmh1yb32k002ml501wxdapry2","company-2","Schneider AG","contact@schneider-ag.de","+49 40 9876543","Second Avenue 45, 80331 Munich, Germany","company-1",NULL,NULL,"0","0","cmh0lp6x4000el501nm0zy7ey","{isSellable,billOfMaterial,billOfMaterialDescription,importer,packagings,warehouseLocation,productionLocation,waterUsed,productCarbonFootprint,cascadePrinciple,certification,circularPrinciple,productionHistory,outliers,taricCode,gtin}","{}",False
